Frame,Time(s),Confidence,Box
18,0.3,0.87,"(649, 224)-(1383, 865)"
19,0.32,0.83,"(644, 221)-(1341, 870)"
20,0.33,0.73,"(653, 220)-(1286, 888)"
24,0.4,0.54,"(621, 187)-(1362, 892)"
26,0.43,0.96,"(547, 352)-(1339, 979)"
27,0.45,0.96,"(547, 352)-(1339, 979)"
28,0.47,0.96,"(547, 352)-(1339, 983)"
29,0.48,0.96,"(548, 352)-(1340, 982)"
30,0.5,0.96,"(548, 352)-(1340, 981)"
31,0.52,0.96,"(548, 351)-(1339, 981)"
32,0.53,0.96,"(548, 350)-(1339, 979)"
33,0.55,0.96,"(548, 350)-(1339, 979)"
34,0.57,0.96,"(548, 349)-(1339, 981)"
35,0.58,0.96,"(548, 350)-(1339, 979)"
36,0.6,0.96,"(548, 350)-(1339, 981)"
41,0.68,0.92,"(185, 495)-(749, 758)"
41,0.68,0.88,"(950, 546)-(1042, 620)"
42,0.7,0.92,"(184, 493)-(748, 758)"
42,0.7,0.87,"(950, 545)-(1046, 621)"
43,0.72,0.93,"(187, 491)-(750, 756)"
43,0.72,0.86,"(951, 545)-(1048, 620)"
44,0.73,0.54,"(1323, 578)-(1906, 1080)"
